age_description,jaw_description,eyes_description,hair_description,nose_description,race_description,beard_description,gender_description,eyebrows_description,expression_description,additionalInfo_description,Attractive_og_img,Race_og_img,Memorable_og_img,Filename_og_img,AWSFile_og_img,ParticipantId,Task Data,Submitted Data,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status
28,slightly square,"brown, turned down",short black hair,short wide,hispanic,none,male,"thick brown, rounded down",neutral,,3.0,5.0,3.0,Google_1_Bryan Nava_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Bryan%20Nava_1_oval.jpg,B5B47BCBF8E74CD4B25C0E654B6B0239,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""5.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Bryan Nava_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Bryan%20Nava_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":150}","{""Data"":{""taskData"":{""age"":""28"",""jaw"":""slightly square"",""eyes"":""brown, turned down"",""hair"":""short black hair"",""nose"":""short wide"",""race"":""hispanic"",""beard"":""none"",""gender"":""male"",""eyebrows"":""thick brown, rounded down"",""expression"":""neutral""}}}",29,"Bachelor's degree (for example: BA, AB, BS)",Female,Business Management & Administration,Divorced,Democrat,Woman,United States,"$80,000-$89,999",Black or African American,Part-time
Mid-50s,Pointy,Small light-colored,Short grey and light brown,Small nostrils ,white,No e,male,Thin light-colored,smiling,,1.0,1.0,2.0,Google_1_Maggie Dearing_19_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Maggie%20Dearing_19_oval.jpg,EF72947B1FEC4444878FC6E541406353,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Maggie Dearing_19_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Maggie%20Dearing_19_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":152}","{""Data"":{""taskData"":{""age"":""Mid-50s"",""jaw"":""Pointy"",""eyes"":""Small light-colored"",""hair"":""Short grey and light brown"",""nose"":""Small nostrils "",""race"":""white"",""beard"":""No e"",""gender"":""male"",""eyebrows"":""Thin light-colored"",""expression"":""smiling""}}}",58,"Associate degree (for example: AA, AS)",Female,Legal,Married,Independent,Woman,United States,"$20,000-$29,999",White,Part-time
Mid 40s - mid 50s,Wide,Dark brown,"Balding, gray on sides","Large, wide",white,Clean-shaven,male,Medium brown,smiling,,2.0,1.0,3.0,Google_1_Sheila Sokol_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Sheila%20Sokol_7_oval.jpg,940569137767425CA4F68853B344410B,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Sheila Sokol_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Sheila%20Sokol_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":131}","{""Data"":{""taskData"":{""age"":""Mid 40s - mid 50s"",""jaw"":""Wide"",""eyes"":""Dark brown"",""hair"":""Balding, gray on sides"",""nose"":""Large, wide"",""race"":""white"",""beard"":""Clean-shaven"",""gender"":""male"",""eyebrows"":""Medium brown"",""expression"":""smiling""}}}",44,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,Single,Independent,Man,United States,"$90,000-$99,999",Filipino,Full-time
Early 40’s,Thick round ,Large black ,Short tight cut,Wide ,black,Thin goatee ,male,Medium thickness,neutral,No other identifying features ,2.0,2.0,3.0,Andrew_Perreira_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Andrew_Perreira_5_oval.jpg,4BD45001E6CD42B294550A18DEDBC0B2,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Andrew_Perreira_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Andrew_Perreira_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":72}","{""Data"":{""taskData"":{""age"":""Early 40\u2019s"",""jaw"":""Thick round "",""eyes"":""Large black "",""hair"":""Short tight cut"",""nose"":""Wide "",""race"":""black"",""beard"":""Thin goatee "",""gender"":""male"",""eyebrows"":""Medium thickness"",""expression"":""neutral"",""additionalInfo"":""No other identifying features ""}}}",36,"Some college, but no degree",Female,Marketing and Sales,Married,Republican,Woman,United States,"$40,000-$49,999",White,Part-time
mid-50s,Square with slight,Small blue,Short straight gray,Large nostrils and long bridge,white,,male,Thin black,smiling,,3.0,1.0,3.0,Google_1_Thomas Snowden_18-oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Thomas%20Snowden_18-oval.jpg,7A2FD3C07D83434E8933F2F44369452E,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Thomas Snowden_18-oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Thomas%20Snowden_18-oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":13}","{""Data"":{""taskData"":{""age"":""mid-50s"",""jaw"":""Square with slight"",""eyes"":""Small blue"",""hair"":""Short straight gray"",""nose"":""Large nostrils and long bridge"",""race"":""white"",""gender"":""male"",""eyebrows"":""Thin black"",""expression"":""smiling""}}}",34,"Some college, but no degree",Male,Marketing and Sales,Married,Republican,Man,United States,"$70,000-$79,999",Black or African American,Full-time
mid to late-20s,under the chin,sturdy with a flat top,bushy thick dirty blonds,rounded,white,None,male,deep-set blue,smiling,,3.0,1.0,3.0,Google_1_Harry Lusk_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Harry%20Lusk_9_oval.jpg,9895FF15E83E4491A5FDDE1D8E421ACA,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Harry Lusk_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Harry%20Lusk_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":153}","{""Data"":{""taskData"":{""age"":""mid to late-20s"",""jaw"":""under the chin"",""eyes"":""sturdy with a flat top"",""hair"":""bushy thick dirty blonds"",""nose"":""rounded"",""race"":""white"",""beard"":""None"",""gender"":""male"",""eyebrows"":""deep-set blue"",""expression"":""smiling""}}}",26,"Bachelor's degree (for example: BA, AB, BS)",Female,"Science, Technology, Engineering & Mathematics",Single,Democrat,Woman,United States,"$50,000-$59,999",Black or African American,Unemployed
60s,Undefined,Dark,Receding hair,Average pointed,white,Clean shaven,male,Brown,smiling,Wrinkled,3.0,1.0,3.0,Google_1_Henry Kinsella_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Henry%20Kinsella_3_oval.jpg,766082622D784E3BA93A85AD160BF1F5,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Henry Kinsella_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Henry%20Kinsella_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":134}","{""Data"":{""taskData"":{""age"":""60s"",""jaw"":""Undefined"",""eyes"":""Dark"",""hair"":""Receding hair"",""nose"":""Average pointed"",""race"":""white"",""beard"":""Clean shaven"",""gender"":""male"",""eyebrows"":""Brown"",""expression"":""smiling"",""additionalInfo"":""Wrinkled""}}}",31,"Bachelor's degree (for example: BA, AB, BS)",Male,Retail,In a relationship,Democrat,Man,United States,"$125,000-$149,999",White,Full-time
mid 20s,oval ,mid size nose,dark bushy eyebrows,small nostrils ,asian,none ,male,dark eyes,smiling,he was wearing a silver earing,2.0,3.0,2.0,Google_1_Kevin Zimmerman_11_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Kevin%20Zimmerman_11_oval.jpg,48F83253E6ED4251ACBED3126DC4DE4A,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""3.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Kevin Zimmerman_11_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Kevin%20Zimmerman_11_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":96}","{""Data"":{""taskData"":{""age"":""mid 20s"",""jaw"":""oval "",""eyes"":""mid size nose"",""hair"":""dark bushy eyebrows"",""nose"":""small nostrils "",""race"":""asian"",""beard"":""none "",""gender"":""male"",""eyebrows"":""dark eyes"",""expression"":""smiling"",""additionalInfo"":""he was wearing a silver earing""}}}",39,"Associate degree (for example: AA, AS)",Female,Information Technology,Married,Independent,Woman,United States,"$150,0000-$174,999",White,Full-time
mid-30s,round,Dark brown,short straight hair,Pointed,white,none,male,Thick brown,neutral,none,3.0,1.0,4.0,Google_1_Louis Mceachern_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Louis%20Mceachern_7_oval.jpg,65058F885E604BF1B6B46F2E33E9ACFF,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Louis Mceachern_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Louis%20Mceachern_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":156}","{""Data"":{""taskData"":{""age"":""mid-30s"",""jaw"":""round"",""eyes"":""Dark brown"",""hair"":""short straight hair"",""nose"":""Pointed"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""Thick brown"",""expression"":""neutral"",""additionalInfo"":""none""}}}",23,"Associate degree (for example: AA, AS)",Male,I’d Rather Not Say,Single,Prefer not to say,Man,United States,"$30,000-$39,999",Black or African American,Prefer not to say
40s,Pointed slim jaw,"Large dark eyes, one was smaller than the other","Brunette, length unknown",Medium sized nose,white,No beard,female,Thick brown eyebrows with a sharp arch,smiling,"Was wearing makeup, showed teeth while smiling",4.0,1.0,4.0,Google_1_Kristen Fabian_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Kristen%20Fabian_7_oval.jpg,2EF8C39B0DF94B2ABD987E2492001CB2,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Kristen Fabian_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Kristen%20Fabian_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":157}","{""Data"":{""taskData"":{""age"":""40s"",""jaw"":""Pointed slim jaw"",""eyes"":""Large dark eyes, one was smaller than the other"",""hair"":""Brunette, length unknown"",""nose"":""Medium sized nose"",""race"":""white"",""beard"":""No beard"",""gender"":""female"",""eyebrows"":""Thick brown eyebrows with a sharp arch"",""expression"":""smiling"",""additionalInfo"":""Was wearing makeup, showed teeth while smiling""}}}",32,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Other,In a relationship,Democrat,Woman,United States,"$200,000-$224,999",Filipino,Full-time
Early 50s,Square,"Small, blue","Short, strawberry blonde",Larger nose tip,white,None,male,"Thick, strawberry blonde",smiling,Somewhat yellow teeth; lightly tanned skin. ,3.0,1.0,2.0,Google_1_Stephen Adam_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Stephen%20Adam_5_oval.jpg,F358D7E4F7A149A08AEEC07608B417BD,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Stephen Adam_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Stephen%20Adam_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":59}","{""Data"":{""taskData"":{""age"":""Early 50s"",""jaw"":""Square"",""eyes"":""Small, blue"",""hair"":""Short, strawberry blonde"",""nose"":""Larger nose tip"",""race"":""white"",""beard"":""None"",""gender"":""male"",""eyebrows"":""Thick, strawberry blonde"",""expression"":""smiling"",""additionalInfo"":""Somewhat yellow teeth; lightly tanned skin. ""}}}",29,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,I’d Rather Not Say,Married,Republican,Woman,United States,"$175,000-$199,999",White,Prefer not to say
27,jaw square with light facial hair brown,eyes large and brown the right eye is slightly sleepy,short curly brunette,big nose with crooked to it and short nostrils,white,"light facial hair brown, almost no noticeable moustache",male,thick and brown,neutral,,2.0,1.0,4.0,Google_1_Jerry Deboer_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Jerry%20Deboer_5_oval.jpg,70D4C4D8E4504180B82CA1993E5F4B25,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Jerry Deboer_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Jerry%20Deboer_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":165}","{""Data"":{""taskData"":{""age"":""27"",""jaw"":""jaw square with light facial hair brown"",""eyes"":""eyes large and brown the right eye is slightly sleepy"",""hair"":""short curly brunette"",""nose"":""big nose with crooked to it and short nostrils"",""race"":""white"",""beard"":""light facial hair brown, almost no noticeable moustache"",""gender"":""male"",""eyebrows"":""thick and brown"",""expression"":""neutral""}}}",33,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Social Sciences,In a relationship,Democrat,Woman,United States,"$30,000-$39,999",White,Prefer not to say
mid-30s,square,medium brown,"tapered, short, dark, faded","wide nose, symmetrical",black,none,male,trimmed,neutral,none,2.0,2.0,2.0,Google_1_Pearl Hankins_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Pearl%20Hankins_9_oval.jpg,69E238ED438645E09EF17189005AAB72,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Pearl Hankins_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Pearl%20Hankins_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":86}","{""Data"":{""taskData"":{""age"":""mid-30s"",""jaw"":""square"",""eyes"":""medium brown"",""hair"":""tapered, short, dark, faded"",""nose"":""wide nose, symmetrical"",""race"":""black"",""beard"":""none"",""gender"":""male"",""eyebrows"":""trimmed"",""expression"":""neutral"",""additionalInfo"":""none""}}}",43,"Bachelor's degree (for example: BA, AB, BS)",Male,Manufacturing,Single,Democrat,Man,United States,"$150,0000-$174,999",White,Full-time
early 40's,rounded,medium brown,wavy brown,rounded,white,,female,brown large,smiling,,3.0,1.0,3.0,Google_1_Michelle Boren_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Michelle%20Boren_3_oval.jpg,982D87BF6D58455181C094D378B6A11A,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Michelle Boren_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Michelle%20Boren_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":107}","{""Data"":{""taskData"":{""age"":""early 40\u0027s"",""jaw"":""rounded"",""eyes"":""medium brown"",""hair"":""wavy brown"",""nose"":""rounded"",""race"":""white"",""gender"":""female"",""eyebrows"":""brown large"",""expression"":""smiling""}}}",53,"Bachelor's degree (for example: BA, AB, BS)",Male,Manufacturing,Married,Independent,Man,United States,"$125,000-$149,999",White,Full-time
late 30s,"Pointed, small, feminine shape","Smallish eyes, light blue color","Appeared to be straight, light color like blonde maybe with some highlights","Small button nose, average looking for a white woman",white,None,female,Thinner eyebrows,smiling,"Appears to be wearing a light layer of makeup, dark upper eyelashes looks like some mascara, reddish/pinkish cheeks looks like blush, and a light nude/pink lipstick. Also has large, very white teeth",3.0,1.0,3.0,Google_1_Steven Dorris_5_oval (2).jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Steven%20Dorris_5_oval%20(2).jpg,AEF8CF1E565841ADA05A578F903F2004,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Steven Dorris_5_oval (2).jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Steven%20Dorris_5_oval%20(2).jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":127}","{""Data"":{""taskData"":{""age"":""late 30s"",""jaw"":""Pointed, small, feminine shape"",""eyes"":""Smallish eyes, light blue color"",""hair"":""Appeared to be straight, light color like blonde maybe with some highlights"",""nose"":""Small button nose, average looking for a white woman"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thinner eyebrows"",""expression"":""smiling"",""additionalInfo"":""Appears to be wearing a light layer of makeup, dark upper eyelashes looks like some mascara, reddish/pinkish cheeks looks like blush, and a light nude/pink lipstick. Also has large, very white teeth""}}}",30,"Some college, but no degree",Female,Other,Married,Democrat,Woman,United States,"$100,000-$124,999",White,Part-time
28,round,green eyes,short straight hair,small nose,white,none,female,thin eyebrows,smiling,,1.0,1.0,3.0,Amanda_Denning_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Amanda_Denning_9_oval.jpg,BD27902CF5B841EBB8B948B6A7CC9B8B,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Amanda_Denning_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Amanda_Denning_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":81}","{""Data"":{""taskData"":{""age"":""28"",""jaw"":""round"",""eyes"":""green eyes"",""hair"":""short straight hair"",""nose"":""small nose"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin eyebrows"",""expression"":""smiling""}}}",32,High school graduate - high school diploma or the equivalent (for example: GED),Male,Retail,Single,Democrat,Man,United States,"$50,000-$59,999",White,Part-time
early 50w,Pronounced with some very light facial hair,Small and black. His eyes were squinted. ,Short and black except for the sides which were showing some white,Normal with not flared nostrils. Average size.  ,white,"Short, black stubble. ",male,Thick and black,smiling,Seems to be happy and looking at the camera ,2.0,1.0,3.0,Google_1_Peter Kline_11_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Peter%20Kline_11_oval.jpg,0518698BE11743EFBBD4943FCB5F3AC3,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Peter Kline_11_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Peter%20Kline_11_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":128}","{""Data"":{""taskData"":{""age"":""early 50w"",""jaw"":""Pronounced with some very light facial hair"",""eyes"":""Small and black. His eyes were squinted. "",""hair"":""Short and black except for the sides which were showing some white"",""nose"":""Normal with not flared nostrils. Average size.  "",""race"":""white"",""beard"":""Short, black stubble. "",""gender"":""male"",""eyebrows"":""Thick and black"",""expression"":""smiling"",""additionalInfo"":""Seems to be happy and looking at the camera ""}}}",28,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,"Science, Technology, Engineering & Mathematics",Married,Republican,Man,United States,"$100,000-$124,999",White,Full-time
mid 20s,"Wide, round , chubby",Small blueish,"wavy red hair, medium length, shiny","Short, uneven, wide ",white,None,male,"Thin, red, uneven",smiling,"Thin pursed lips, Wide neck, and small forehead ",1.0,1.0,2.0,Google_1_Justin Reinke_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Justin%20Reinke_5_oval.jpg,6519BE1F887E457E8F55DAF5746A82C9,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Justin Reinke_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Justin%20Reinke_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":123}","{""Data"":{""taskData"":{""age"":""mid 20s"",""jaw"":""Wide, round , chubby"",""eyes"":""Small blueish"",""hair"":""wavy red hair, medium length, shiny"",""nose"":""Short, uneven, wide "",""race"":""white"",""beard"":""None"",""gender"":""male"",""eyebrows"":""Thin, red, uneven"",""expression"":""smiling"",""additionalInfo"":""Thin pursed lips, Wide neck, and small forehead ""}}}",30,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,"Science, Technology, Engineering & Mathematics",Married,Democrat,Man,United States,"$250,000 or more",White,Full-time
70,round,"droopy, brown","graying, slightly thin","not pointy, neither long nor short",white,none,male,"sparse, white",smiling,wrinkly face,1.0,1.0,4.0,Google_1_Gerald Fraser_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Gerald%20Fraser_9_oval.jpg,282F6EB95349403894A394B108FBBE1D,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Gerald Fraser_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Gerald%20Fraser_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":115}","{""Data"":{""taskData"":{""age"":""70"",""jaw"":""round"",""eyes"":""droopy, brown"",""hair"":""graying, slightly thin"",""nose"":""not pointy, neither long nor short"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""sparse, white"",""expression"":""smiling"",""additionalInfo"":""wrinkly face""}}}",27,"Bachelor's degree (for example: BA, AB, BS)",Female,"Science, Technology, Engineering & Mathematics",Single,Democrat,Woman,United States,"$80,000-$89,999",Vietnamese,Full-time
