age_description,jaw_description,eyes_description,hair_description,nose_description,race_description,beard_description,gender_description,eyebrows_description,expression_description,additionalInfo_description,Attractive_og_img,Race_og_img,Memorable_og_img,Filename_og_img,AWSFile_og_img,ParticipantId,Task Data,Submitted Data,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status,Filepath_og_img,DALLE_img_filepath,DALLE_images_transformed
mid 20s,round,"bright, wide open",long straight blonde with bangs,"petite nose, normal bridge",white,none,female,thick light brown,smiling,"very big smile, large eyelashes",5.0,1.0,4.0,Google_1_Travis Mccurdy_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Travis%20Mccurdy_5_oval.jpg,F82D519FB0BA40059E93AC35E1735EA5,"{""RowData"":[{""CellData"":""5.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Travis Mccurdy_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Travis%20Mccurdy_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":93}","{""Data"":{""taskData"":{""age"":""mid 20s"",""jaw"":""round"",""eyes"":""bright, wide open"",""hair"":""long straight blonde with bangs"",""nose"":""petite nose, normal bridge"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thick light brown"",""expression"":""smiling"",""additionalInfo"":""very big smile, large eyelashes""}}}",44,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Education & Training,Married,Republican,Woman,United States,"$125,000-$149,999",White,Full-time,1k-MTurk-Images/Google_1_Travis Mccurdy_5_oval.jpg,DALLE_images/Google_1_Travis Mccurdy_5_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Travis Mccurdy_5_oval_DALLE_TRANSFORMED.jpg
40s,rounded,blue,red,"thin, pointed",white,none,female,"thin, dark",smiling,"red lipstick, blue eye shadow",1.0,1.0,3.0,Google_1_Denise Bach_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Denise%20Bach_7_oval.jpg,1E18D3380B3E4445A2ABD6A695AF339B,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Denise Bach_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Denise%20Bach_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":95}","{""Data"":{""taskData"":{""age"":""40s"",""jaw"":""rounded"",""eyes"":""blue"",""hair"":""red"",""nose"":""thin, pointed"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin, dark"",""expression"":""smiling"",""additionalInfo"":""red lipstick, blue eye shadow""}}}",35,"Doctorate degree (for example: PhD, EdD)",Female,Other,Single,Democrat,Agender,United States,"$30,000-$39,999",White,Unemployed,1k-MTurk-Images/Google_1_Denise Bach_7_oval.jpg,DALLE_images/Google_1_Denise Bach_7_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Denise Bach_7_oval_DALLE_TRANSFORMED.jpg
35,jaw comes to a point,large brown eyes,straight dark brown hair,"medium width, medium nostrils",black,no beard,female,medium thin brown,smiling,"larger lower lip, big white smile",5.0,2.0,3.0,Google_1_Marcia Julius_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Marcia%20Julius_7_oval.jpg,3C6A217DE6664F54B1103A5E9F227CA6,"{""RowData"":[{""CellData"":""5.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Marcia Julius_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Marcia%20Julius_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":97}","{""Data"":{""taskData"":{""age"":""35"",""jaw"":""jaw comes to a point"",""eyes"":""large brown eyes"",""hair"":""straight dark brown hair"",""nose"":""medium width, medium nostrils"",""race"":""black"",""beard"":""no beard"",""gender"":""female"",""eyebrows"":""medium thin brown"",""expression"":""smiling"",""additionalInfo"":""larger lower lip, big white smile""}}}",37,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,Married,Independent,Man,United States,"$225,000-$249,999",White,Full-time,1k-MTurk-Images/Google_1_Marcia Julius_7_oval.jpg,DALLE_images/Google_1_Marcia Julius_7_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Marcia Julius_7_oval_DALLE_TRANSFORMED.jpg
Mid 40',Square,Small bown,Black short,"Round, big nostrils",white,None,female,Thin black,smiling,Wearing earrings,3.0,2.0,2.0,Google_1_Victor Fleenor_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Victor%20Fleenor_7_oval.jpg,FEAFA16580DF409F86440C2E1F75D57A,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Victor Fleenor_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Victor%20Fleenor_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":98}","{""Data"":{""taskData"":{""age"":""Mid 40\u0027"",""jaw"":""Square"",""eyes"":""Small bown"",""hair"":""Black short"",""nose"":""Round, big nostrils"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thin black"",""expression"":""smiling"",""additionalInfo"":""Wearing earrings""}}}",34,"Bachelor's degree (for example: BA, AB, BS)",Male,Retail,Married,Democrat,Man,United States,"$50,000-$59,999",White,Full-time,1k-MTurk-Images/Google_1_Victor Fleenor_7_oval.jpg,DALLE_images/Google_1_Victor Fleenor_7_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Victor Fleenor_7_oval_DALLE_TRANSFORMED.jpg
early 30s,go,"brown, medium sized, not very round","short, straight, brown","medium size, rounded tip, not super pointy, normal nostrils",white,No description provided,male,brown,smiling,No description provided,3.0,1.0,2.0,Google_1_Christopher Hayden_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Christopher%20Hayden_1_oval.jpg,DEEF0E90185D4F25861EE47DCD2DA0EB,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Christopher Hayden_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Christopher%20Hayden_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":99}","{""Data"":{""taskData"":{""age"":""early 30s"",""jaw"":""go"",""eyes"":""brown, medium sized, not very round"",""hair"":""short, straight, brown"",""nose"":""medium size, rounded tip, not super pointy, normal nostrils"",""race"":""white"",""gender"":""male"",""eyebrows"":""brown"",""expression"":""smiling""}}}",39,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Education & Training,Single,Democrat,Woman,United States,"$30,000-$39,999",Chinese,Full-time,1k-MTurk-Images/Google_1_Christopher Hayden_1_oval.jpg,DALLE_images/Google_1_Christopher Hayden_1_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Christopher Hayden_1_oval_DALLE_TRANSFORMED.jpg
early 40s,wide,brown,brown,wide,white,yes,male,brown,neutral,none,3.0,1.0,1.0,Google_1_Jack Gammon_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Jack%20Gammon_5_oval.jpg,BBEDFD83A2B14F5190EA7EAB15FE7557,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""1.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Jack Gammon_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Jack%20Gammon_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":101}","{""Data"":{""taskData"":{""age"":""early 40s"",""jaw"":""wide"",""eyes"":""brown"",""hair"":""brown"",""nose"":""wide"",""race"":""white"",""beard"":""yes"",""gender"":""male"",""eyebrows"":""brown"",""expression"":""neutral"",""additionalInfo"":""none""}}}",23,"Bachelor's degree (for example: BA, AB, BS)",Female,"Science, Technology, Engineering & Mathematics",Single,Something else,Woman,United States,"$40,000-$49,999",An ethnicity not listed here,Unemployed,1k-MTurk-Images/Google_1_Jack Gammon_5_oval.jpg,DALLE_images/Google_1_Jack Gammon_5_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Jack Gammon_5_oval_DALLE_TRANSFORMED.jpg
mid 30s,round with dimples,"average size, brown",short light brown,"smaller nostrils, average width",white,No description provided,female,Brown,smiling,smile/frown lines,3.0,1.0,2.0,Google_1_Sara Sayre_10_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Sara%20Sayre_10_oval.jpg,6F4AA7F9EBF749D7BF17D3EA6C77C058,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Sara Sayre_10_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Sara%20Sayre_10_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":21}","{""Data"":{""taskData"":{""age"":""mid 30s"",""jaw"":""round with dimples"",""eyes"":""average size, brown"",""hair"":""short light brown"",""nose"":""smaller nostrils, average width"",""race"":""white"",""gender"":""female"",""eyebrows"":""Brown"",""expression"":""smiling"",""additionalInfo"":""smile/frown lines""}}}",58,"Some college, but no degree",Female,Retired,Married,Independent,Woman,United States,"$50,000-$59,999",White,Retired,1k-MTurk-Images/Google_1_Sara Sayre_10_oval.jpg,DALLE_images/Google_1_Sara Sayre_10_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Sara Sayre_10_oval_DALLE_TRANSFORMED.jpg
30s,angular,large hazel,short strait brunette,regular sized,white,not overly grromed but not messy short,male,thickish brown,smiling,No description provided,3.0,1.0,4.0,Google_1_Amanda Hooten_17_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Amanda%20Hooten_17_oval.jpg,2734CB95451342758D412767C5CD4B98,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Amanda Hooten_17_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Amanda%20Hooten_17_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":103}","{""Data"":{""taskData"":{""age"":""30s"",""jaw"":""angular"",""eyes"":""large hazel"",""hair"":""short strait brunette"",""nose"":""regular sized"",""race"":""white"",""beard"":""not overly grromed but not messy short"",""gender"":""male"",""eyebrows"":""thickish brown"",""expression"":""smiling""}}}",37,"Bachelor's degree (for example: BA, AB, BS)",Female,Medicine,In a relationship,Democrat,Woman,United States,"$50,000-$59,999",White,Full-time,1k-MTurk-Images/Google_1_Amanda Hooten_17_oval.jpg,DALLE_images/Google_1_Amanda Hooten_17_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Amanda Hooten_17_oval_DALLE_TRANSFORMED.jpg
mid 30s,triangle,large black,long black,small nostrils,white,none,female,thin black,smiling,none,5.0,3.0,4.0,Google_1_Stanley Wharton_13_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Stanley%20Wharton_13_oval.jpg,57F870FF60DA4FC9B71C4E849A75E534,"{""RowData"":[{""CellData"":""5.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""3.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Stanley Wharton_13_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Stanley%20Wharton_13_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":76}","{""Data"":{""taskData"":{""age"":""mid 30s"",""jaw"":""triangle"",""eyes"":""large black"",""hair"":""long black"",""nose"":""small nostrils"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin black"",""expression"":""smiling"",""additionalInfo"":""none""}}}",25,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Arts,In a relationship,Republican,Woman,United States,"$70,000-$79,999",Black or African American,Part-time,1k-MTurk-Images/Google_1_Stanley Wharton_13_oval.jpg,DALLE_images/Google_1_Stanley Wharton_13_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Stanley Wharton_13_oval_DALLE_TRANSFORMED.jpg
42,Pointed,Brown,Brown with caramel highlights,Long Round,white,None,female,Thin brown,smiling,Nice white teeth,4.0,1.0,3.0,Google_1_Jennie Marinelli_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Jennie%20Marinelli_1_oval.jpg,024BA05D98644A2CBD8ECEF3FF884E4A,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Jennie Marinelli_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Jennie%20Marinelli_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":28}","{""Data"":{""taskData"":{""age"":""42"",""jaw"":""Pointed"",""eyes"":""Brown"",""hair"":""Brown with caramel highlights"",""nose"":""Long Round"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thin brown"",""expression"":""smiling"",""additionalInfo"":""Nice white teeth""}}}",24,"Some college, but no degree",Female,Retail,Single,Democrat,Woman,United States,"$50,000-$59,999",White,Full-time,1k-MTurk-Images/Google_1_Jennie Marinelli_1_oval.jpg,DALLE_images/Google_1_Jennie Marinelli_1_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Jennie Marinelli_1_oval_DALLE_TRANSFORMED.jpg
mid-40s,triangular,small blue,blonde dyed hair,wide nostrils,white,none,female,thin ,smiling,pink lipstick,1.0,1.0,3.0,Google_1_Caroline Witt_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Caroline%20Witt_15_oval.jpg,C2ACC34AC82042A49717598529FCF290,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Caroline Witt_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Caroline%20Witt_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":61}","{""Data"":{""taskData"":{""age"":""mid-40s"",""jaw"":""triangular"",""eyes"":""small blue"",""hair"":""blonde dyed hair"",""nose"":""wide nostrils"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin "",""expression"":""smiling"",""additionalInfo"":""pink lipstick""}}}",28,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Information Technology,Married,Independent,Woman,United States,"$90,000-$99,999",An ethnicity not listed here,Part-time,1k-MTurk-Images/Google_1_Caroline Witt_15_oval.jpg,DALLE_images/Google_1_Caroline Witt_15_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Caroline Witt_15_oval_DALLE_TRANSFORMED.jpg
mid-30s,round,"white, large","medium length, light brown","large nostrils, big bridge",white,none,female,"medium thickness, brown",smiling,No description provided,3.0,1.0,3.0,Google_1_Jerry Casillas_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Jerry%20Casillas_5_oval.jpg,D7D05169A740446D840874A0CC99131A,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Jerry Casillas_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Jerry%20Casillas_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":104}","{""Data"":{""taskData"":{""age"":""mid-30s"",""jaw"":""round"",""eyes"":""white, large"",""hair"":""medium length, light brown"",""nose"":""large nostrils, big bridge"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""medium thickness, brown"",""expression"":""smiling""}}}",28,"Doctorate degree (for example: PhD, EdD)",Male,Medicine,In a civil union/partnership,Democrat,Man,United States,"$100,000-$124,999",White,Full-time,1k-MTurk-Images/Google_1_Jerry Casillas_5_oval.jpg,DALLE_images/Google_1_Jerry Casillas_5_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Jerry Casillas_5_oval_DALLE_TRANSFORMED.jpg
mid 30s,average,blue,blonde,normal,white,none,female,blonde,neutral,No description provided,4.0,1.0,4.0,Google_1_Laurie Mcnamara_19_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Laurie%20Mcnamara_19_oval.jpg,6B3DF04DE00E4796B85EB4E757CC08C8,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Laurie Mcnamara_19_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Laurie%20Mcnamara_19_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":105}","{""Data"":{""taskData"":{""age"":""mid 30s"",""jaw"":""average"",""eyes"":""blue"",""hair"":""blonde"",""nose"":""normal"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""blonde"",""expression"":""neutral""}}}",32,"Bachelor's degree (for example: BA, AB, BS)",Male,Finance,Married,Independent,Man,United States,"$125,000-$149,999",White,Business Owner,1k-MTurk-Images/Google_1_Laurie Mcnamara_19_oval.jpg,DALLE_images/Google_1_Laurie Mcnamara_19_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Laurie Mcnamara_19_oval_DALLE_TRANSFORMED.jpg
42,Square qith thin lips,large asian brown eyes,Shoulder length black hair,narrow with high cheek bones,asian,None,female,Thick and dark brown/black,smiling,Red lipstick and a birth mark on her right cheek,3.0,3.0,2.0,Google_1_Jeffrey Chao_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Jeffrey%20Chao_3_oval.jpg,F1814304D11B445D8BDE5EB270C7F9D1,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""3.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Jeffrey Chao_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Jeffrey%20Chao_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":106}","{""Data"":{""taskData"":{""age"":""42"",""jaw"":""Square qith thin lips"",""eyes"":""large asian brown eyes"",""hair"":""Shoulder length black hair"",""nose"":""narrow with high cheek bones"",""race"":""asian"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thick and dark brown/black"",""expression"":""smiling"",""additionalInfo"":""Red lipstick and a birth mark on her right cheek""}}}",55,"Bachelor's degree (for example: BA, AB, BS)",Male,Marketing and Sales,Married,Independent,Man,United States,"$100,000-$124,999",White,Full-time,1k-MTurk-Images/Google_1_Jeffrey Chao_3_oval.jpg,DALLE_images/Google_1_Jeffrey Chao_3_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Jeffrey Chao_3_oval_DALLE_TRANSFORMED.jpg
mid 30s,non-assuming,brown and turned down on the outer edges,brown,"regular sized nose, but almost too big.",white,small patch of hair under the bottom lip,male,brown,smiling,Smile looks a bit forced.,4.0,1.0,2.0,Google_1_Matthew Click_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Matthew%20Click_5_oval.jpg,83619A5C60FB4DF79FA0CFF2A82A2F8A,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Matthew Click_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Matthew%20Click_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":7}","{""Data"":{""taskData"":{""age"":""mid 30s"",""jaw"":""non-assuming"",""eyes"":""brown and turned down on the outer edges"",""hair"":""brown"",""nose"":""regular sized nose, but almost too big."",""race"":""white"",""beard"":""small patch of hair under the bottom lip"",""gender"":""male"",""eyebrows"":""brown"",""expression"":""smiling"",""additionalInfo"":""Smile looks a bit forced.""}}}",52,"Bachelor's degree (for example: BA, AB, BS)",Male,Government & Public Administration,Married,Republican,Man,United States,"$50,000-$59,999",White,Full-time,1k-MTurk-Images/Google_1_Matthew Click_5_oval.jpg,DALLE_images/Google_1_Matthew Click_5_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Matthew Click_5_oval_DALLE_TRANSFORMED.jpg
26,sharp jaw,brown eyes,long brown wavy ,medium sized nose,white,none,female,thin brows,smiling,No description provided,3.0,1.0,3.0,Google_1_Ronald Stella_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Ronald%20Stella_15_oval.jpg,8C79F1BB0483431EAB195C8EE5B76DC9,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Ronald Stella_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Ronald%20Stella_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":108}","{""Data"":{""taskData"":{""age"":""26"",""jaw"":""sharp jaw"",""eyes"":""brown eyes"",""hair"":""long brown wavy "",""nose"":""medium sized nose"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin brows"",""expression"":""smiling""}}}",20,High school graduate - high school diploma or the equivalent (for example: GED),Male,Finance,Single,Independent,Man,United States,"$80,000-$89,999",Asian Indian,Student,1k-MTurk-Images/Google_1_Ronald Stella_15_oval.jpg,DALLE_images/Google_1_Ronald Stella_15_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Ronald Stella_15_oval_DALLE_TRANSFORMED.jpg
mid 40s,oval,large brown,long and wavy,small nostrils,white,none,female,brown and long,neutral,No description provided,1.0,1.0,1.0,Google_1_Christine Turcotte_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Christine%20Turcotte_9_oval.jpg,BE55B35019B1449A83AF9EE7624F681F,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""1.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Christine Turcotte_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Christine%20Turcotte_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":109}","{""Data"":{""taskData"":{""age"":""mid 40s"",""jaw"":""oval"",""eyes"":""large brown"",""hair"":""long and wavy"",""nose"":""small nostrils"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""brown and long"",""expression"":""neutral""}}}",28,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Business Management & Administration,In a relationship,Republican,Man,United States,"$150,0000-$174,999",Chinese,Full-time,1k-MTurk-Images/Google_1_Christine Turcotte_9_oval.jpg,DALLE_images/Google_1_Christine Turcotte_9_oval_DALLE.jpg,TRANSFORMED_DALLE_images/Google_1_Christine Turcotte_9_oval_DALLE_TRANSFORMED.jpg
